,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,Bank
22,1590316100298080256,1590316100298080256,1667995879000.0,2022-11-09 13:11:19,+0100,,wetin dey happen with payment na what is account activity verification again,en,[],[],1893602390,1893602390,mohyorlee,Moyosore,3,13,https://twitter.com/mohyorlee/status/1590316100298080256,[],[],0,,False,1,2,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
25,1590315877811245056,1590315877811245056,1667995826000.0,2022-11-09 13:10:26,+0100,,ur gtconnect numbers are not connecting i need to talk to someone i have an issues that is yet to be resolved ur customer service is an error now,en,[],[],2261905696,2261905696,sdeenworld,ADEYEMI SHERIFFDEEN,3,13,https://twitter.com/sdeenworld/status/1590315877811245056,[],[],0,,False,1,2,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
27,1590315845565435905,1590315845565435905,1667995818000.0,2022-11-09 13:10:18,+0100,,paystack can be used for card payments bank transfer gtb  and visa qr  login to your naijabet account click on deposit fund and select paystack  deposit now,en,"['naijabeteasyfunding', 'naijabetpays', 'naijabet', 'carabaocup']",[],1526251314019287041,1526251314019287041,gbemi_tips,Gbemi tips,3,13,https://twitter.com/gbemi_tips/status/1590315845565435905,['http://www.NaijaBet.com'],['https://pbs.twimg.com/media/FhHv1C1XEAEUgTK.jpg'],1,https://pbs.twimg.com/media/FhHv1C1XEAEUgTK.jpg,False,0,0,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
28,1590315797167034368,1589875545403428865,1667995807000.0,2022-11-09 13:10:07,+0100,,god bless you boss    gtb,en,[],[],1326016668569661445,1326016668569661445,JhOluwasanmi,Oluwasanmi jeremiah,3,13,https://twitter.com/JhOluwasanmi/status/1590315797167034368,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'sportingking365', 'name': 'Sporting King', 'id': '2562718211'}]",,,,,Guarantee Trust Bank
31,1590315542669570055,1590314067184734208,1667995746000.0,2022-11-09 13:09:06,+0100,,this life no balance at all me still dey find k wey i go fund my sporty  mayor dey get mili plus for sporty acct  you no show love o  gtb do your guy something,en,[],[],1458008016,1458008016,AdemosuJ,Xyjcalous,3,13,https://twitter.com/AdemosuJ/status/1590315542669570055,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Ekitipikin', 'name': 'Mayor Of Ekiti', 'id': '1035513929164832768'}]",,,,,Guarantee Trust Bank
33,1590315464244461568,1590260679105470464,1667995727000.0,2022-11-09 13:08:47,+0100,,boss pls i have never received too   gtb thanks,en,[],[],1588542927780937728,1588542927780937728,tt_signatures,tt_signatures,3,13,https://twitter.com/tt_signatures/status/1590315464244461568,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
34,1590315441695907840,1590315441695907840,1667995722000.0,2022-11-09 13:08:42,+0100,,good day i complained of a dispense error on a local pos on th march  i have complained severally but nothing has been done about it since then do i have to get to one of your branch to get this resolved,en,[],[],119177674,119177674,johnay776,sonofthelivingGod,3,13,https://twitter.com/johnay776/status/1590315441695907840,[],[],0,,False,1,3,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
38,1590315139210702849,1590110898772852736,1667995650000.0,2022-11-09 13:07:30,+0100,,number  my details is  gtb,en,[],[],1578525055989972993,1578525055989972993,Mimijacq31,Mimijacq🔥💫💦,3,13,https://twitter.com/Mimijacq31/status/1590315139210702849,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'brainjotter__', 'name': 'Brain Jotter', 'id': '1488407350352429058'}]",,,,,Guarantee Trust Bank
39,1590315133993353216,1590248929953984512,1667995649000.0,2022-11-09 13:07:29,+0100,,gtb god will continue to bless u,en,[],[],1582424528080322560,1582424528080322560,IfedolapoAanuo1,Ifedolapo Aanuoluwapo,3,13,https://twitter.com/IfedolapoAanuo1/status/1590315133993353216,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
40,1590315034286370816,1590238935955181568,1667995625000.0,2022-11-09 13:07:05,+0100,,ive been here for weeks now it like im giving up i hope i get one today gtb unekuojo,en,[],[],1586102761137094660,1586102761137094660,unekuojo2,unekuojo,3,13,https://twitter.com/unekuojo2/status/1590315034286370816,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
41,1590314972999217154,1590240367198507009,1667995610000.0,2022-11-09 13:06:50,+0100,,sure it will i tried to send my account details alongside the tweet i replied to you but it wasnt going let me try resending bro any assistance will be much appreciated  gtbank,en,[],[],170419406,170419406,emmanuelkudayah,Emmanuelomolaja,3,13,https://twitter.com/emmanuelkudayah/status/1590314972999217154,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'brainjotter__', 'name': 'Brain Jotter', 'id': '1488407350352429058'}]",,,,,Guarantee Trust Bank
42,1590314949166833666,1590314949166833666,1667995605000.0,2022-11-09 13:06:45,+0100,,where is my money,en,[],[],1481690815453876225,1481690815453876225,AkibuIfeoluwa,Martins Ifeoluwa,3,13,https://twitter.com/AkibuIfeoluwa/status/1590314949166833666,[],[],0,,False,2,3,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
45,1590314861078142978,1590108640710492160,1667995584000.0,2022-11-09 13:06:24,+0100,,chairman we have done all wat u asked us to do o still waiting for ur part of the giveaway i know say u no fit forget ur promise but i still say make i remind you     gtb  thank you sir  more winnings,en,[],[],1190559129263321088,1190559129263321088,Braking_News02,OBI’s Volunteer,3,13,https://twitter.com/Braking_News02/status/1590314861078142978,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'mrbayoa1', 'name': 'Mr Bayo', 'id': '1280152605474373635'}]",,,,,Guarantee Trust Bank
49,1590314606547062790,1590257273091153920,1667995523000.0,2022-11-09 13:05:23,+0100,,oko sunday acct  gtbank,en,[],[],1484438652432400387,1484438652432400387,SunnyBAfrica,@SUNNYB DIGITAL,3,13,https://twitter.com/SunnyBAfrica/status/1590314606547062790,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
52,1590314560007073792,1590307645789212672,1667995512000.0,2022-11-09 13:05:12,+0100,,gtbank  i don drop my own o on god,en,[],[],131909479,131909479,JayKprokpoto,Dr.Jay frnybeq🇲🇦,3,13,https://twitter.com/JayKprokpoto/status/1590314560007073792,[],[],0,,False,0,1,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Praise__anthony', 'name': 'Simply_praiz', 'id': '4235122583'}]",,,,,Guarantee Trust Bank
54,1590314525521510400,1590077657445986305,1667995504000.0,2022-11-09 13:05:04,+0100,,my own is  gtb i dey follow you like tommorrow no dey no fall my hand,en,[],[],1578525055989972993,1578525055989972993,Mimijacq31,Mimijacq🔥💫💦,3,13,https://twitter.com/Mimijacq31/status/1590314525521510400,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'brainjotter__', 'name': 'Brain Jotter', 'id': '1488407350352429058'}]",,,,,Guarantee Trust Bank
60,1590314189255761920,1590044474918416385,1667995423000.0,2022-11-09 13:03:43,+0100,,account number  account name oladosu olamide rokeeb  bank gtbank,en,[],[],1103629977046650880,1103629977046650880,Oladosuolamid19,Oladosu olamide,3,13,https://twitter.com/Oladosuolamid19/status/1590314189255761920,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
63,1590314108129546241,1590287248586846208,1667995404000.0,2022-11-09 13:03:24,+0100,,abeg pick me  gtb nwankwo elvisi have been following you for a long while havent gotten lucky enough to win from your games or giveaway but today i know say you go see me today credit me,en,[],[],1362801971695149064,1362801971695149064,elvisomton,ELVIS,3,13,https://twitter.com/elvisomton/status/1590314108129546241,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'sportingking365', 'name': 'Sporting King', 'id': '2562718211'}]",,,,,Guarantee Trust Bank
64,1590314072893186052,1590238935955181568,1667995396000.0,2022-11-09 13:03:16,+0100,,gtbank lucy jonah,en,[],[],1508880327447621644,1508880327447621644,LuJay_Rex,Luly Ro,3,13,https://twitter.com/LuJay_Rex/status/1590314072893186052,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
67,1590313827069202433,1590311464510054400,1667995337000.0,2022-11-09 13:02:17,+0100,,gtb please i never chop since morning,en,[],[],1485358714320306183,1485358714320306183,Benevol5143,Maximum,3,13,https://twitter.com/Benevol5143/status/1590313827069202433,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Betodds1', 'name': 'MrGreen', 'id': '984656960116154369'}]",,,,,Guarantee Trust Bank
68,1590313764389543936,1590313764389543936,1667995322000.0,2022-11-09 13:02:02,+0100,,pleae refund my hard earned money it been a month now and they are not responding tossing around,en,"['peterobiforpresident2023', 'prayfornigeria', 'obidients', 'peterobi4president2023']",[],1573686637,1573686637,tweetgracee,SlimZay,3,13,https://twitter.com/tweetgracee/status/1590313764389543936,[],[],0,,False,2,4,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
70,1590313619535060992,1590280309743882240,1667995288000.0,2022-11-09 13:01:28,+0100,,transport and breakfast oooo  gtbank  hussaini haruna,en,[],[],1261256689824694273,1261256689824694273,Hussainmanofin1,Hussain_man_of_integrity,3,13,https://twitter.com/Hussainmanofin1/status/1590313619535060992,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Betodds1', 'name': 'MrGreen', 'id': '984656960116154369'}]",,,,,Guarantee Trust Bank
71,1590313593865588736,1590313593865588736,1667995282000.0,2022-11-09 13:01:22,+0100,,gtb ejoor baba  someone needs it so so dearly,en,[],[],1484800342298607618,1484800342298607618,Dinoppo,Danny,3,13,https://twitter.com/Dinoppo/status/1590313593865588736,[],[],0,,False,0,0,0,https://twitter.com/LagosFather/status/1590007613970083840,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
72,1590313422755106818,1590007613970083840,1667995241000.0,2022-11-09 13:00:41,+0100,,gtb ejoor baba  someone needs it so so dearly,en,[],[],1484800342298607618,1484800342298607618,Dinoppo,Danny,3,13,https://twitter.com/Dinoppo/status/1590313422755106818,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'LagosFather', 'name': 'lagos Father FC', 'id': '1305924799244505089'}]",,,,,Guarantee Trust Bank
76,1590312979441934337,1590121842232393728,1667995135000.0,2022-11-09 12:58:55,+0100,,gtbank  thank u,en,[],[],1579994092053958658,1579994092053958658,EzeSams49773090,Eze Samson,3,12,https://twitter.com/EzeSams49773090/status/1590312979441934337,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': '_OfficialJoel', 'name': 'Jewel ❁', 'id': '1100457350358548480'}]",,,,,Guarantee Trust Bank
78,1590312878401150976,1590257273091153920,1667995111000.0,2022-11-09 12:58:31,+0100,,please boss remember me things are very hard my house rent payment sir is this month please boss bless me  gtbank ngarlemwale abraham a,en,[],[],1588999812992667649,1588999812992667649,Ngarlem1Abacha,Abraham Ngarlemwale Abacha,3,12,https://twitter.com/Ngarlem1Abacha/status/1590312878401150976,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
79,1590312839272890368,1590291536943939586,1667995102000.0,2022-11-09 12:58:22,+0100,,boss remember me todaythe house rent palava for my head too choke me support me abeg  gtbank  ejiofor obinna cajetan,en,[],[],1586459825529135106,1586459825529135106,AndrewEjiofor1,Andrew Ejiofor,3,12,https://twitter.com/AndrewEjiofor1/status/1590312839272890368,[],[],0,,False,1,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
83,1590312617154789376,1590282797192970241,1667995049000.0,2022-11-09 12:57:29,+0100,,gtbank rogho akpoidolor e  thank you very much i have been following and obeying all rules yet nothing just look my side and show me love,en,[],[],300527564,300527564,lifeiswealth,Akpoidolor E. Rogho,3,12,https://twitter.com/lifeiswealth/status/1590312617154789376,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'wfjames_brown', 'name': 'JAMES BROWN (Africow 🤴 )', 'id': '3436589787'}]",,,,,Guarantee Trust Bank
86,1590312320097718273,1590287248586846208,1667994978000.0,2022-11-09 12:56:18,+0100,,say  winnersand na over k comments i dey see chai make i put my akant with faith   olaseni bello gtb,en,[],[],1246912449611259908,1246912449611259908,Ola_Chenny,Olaseni Olusegun Bello,3,12,https://twitter.com/Ola_Chenny/status/1590312320097718273,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'sportingking365', 'name': 'Sporting King', 'id': '2562718211'}]",,,,,Guarantee Trust Bank
88,1590312305459630084,1590248929953984512,1667994974000.0,2022-11-09 12:56:14,+0100,,gtbank rogho akpoidolor e  thank you very much  i have never been credited before,en,[],[],300527564,300527564,lifeiswealth,Akpoidolor E. Rogho,3,12,https://twitter.com/lifeiswealth/status/1590312305459630084,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
90,1590312249356619776,1590291536943939586,1667994961000.0,2022-11-09 12:56:01,+0100,,gtbank better late than never,en,[],[],1186440737338089482,1186440737338089482,Victor72301548,Victor,3,12,https://twitter.com/Victor72301548/status/1590312249356619776,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
91,1590312239390949378,1589956932982693888,1667994959000.0,2022-11-09 12:55:59,+0100,,it will go a long way  gtbank,en,[],[],1412307627749437442,1412307627749437442,Blenish1,Blenish,3,12,https://twitter.com/Blenish1/status/1590312239390949378,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'wfjames_brown', 'name': 'JAMES BROWN (Africow 🤴 )', 'id': '3436589787'}]",,,,,Guarantee Trust Bank
94,1590312109140631554,1590257273091153920,1667994928000.0,2022-11-09 12:55:28,+0100,,i am here and  i need the money so badly  gtbank,en,[],[],1482104424004829191,1482104424004829191,oty_jeff,Oty Jeff,3,12,https://twitter.com/oty_jeff/status/1590312109140631554,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
96,1590311868710944768,1590240367198507009,1667994870000.0,2022-11-09 12:54:30,+0100,,amen,en,[],[],1571121770349879296,1571121770349879296,Crane849539591,Crand GTB,3,12,https://twitter.com/Crane849539591/status/1590311868710944768,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'brainjotter__', 'name': 'Brain Jotter', 'id': '1488407350352429058'}]",,,,,Guarantee Trust Bank
97,1590311739882897409,1590238935955181568,1667994840000.0,2022-11-09 12:54:00,+0100,,gtb thanks,en,[],[],1588542927780937728,1588542927780937728,tt_signatures,tt_signatures,3,12,https://twitter.com/tt_signatures/status/1590311739882897409,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
99,1590311558428917760,1590276329198727169,1667994796000.0,2022-11-09 12:53:16,+0100,,gtb thank you so much,en,[],[],1562359997954007040,1562359997954007040,MathewBabatund7,Mathew Babatunde,3,12,https://twitter.com/MathewBabatund7/status/1590311558428917760,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'wfjames_brown', 'name': 'JAMES BROWN (Africow 🤴 )', 'id': '3436589787'}]",,,,,Guarantee Trust Bank
100,1590311542276255749,1590311542276255749,1667994792000.0,2022-11-09 12:53:12,+0100,,hello i was debited on saturday for a transaction via pos and i am yet to get a refund please respond asap,en,[],[],362947597,362947597,Weltan_Su,Weltan Su,3,12,https://twitter.com/Weltan_Su/status/1590311542276255749,[],[],0,,False,2,2,0,,gtb OR \ gtbank,,,,,,,[],,,,,Guarantee Trust Bank
107,1590310843022909441,1588775203500625920,1667994626000.0,2022-11-09 12:50:26,+0100,,hi thank you for reaching out to us kindly send us a direct message  with your enquirycomplaint to enable us be of assistance to you thank you,en,[],[],720633474,720633474,gtbank_help,Guaranty Trust Bank Help,3,12,https://twitter.com/gtbank_help/status/1590310843022909441,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Oluwafe41562955', 'name': 'Oluwafemi Olaniyi', 'id': '1588772929734672385'}]",,,,,Guarantee Trust Bank
108,1590310827432648704,1590257273091153920,1667994622000.0,2022-11-09 12:50:22,+0100,,gtb thank you,en,[],[],1562359997954007040,1562359997954007040,MathewBabatund7,Mathew Babatunde,3,12,https://twitter.com/MathewBabatund7/status/1590310827432648704,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
110,1590310764220674048,1590287290684694528,1667994607000.0,2022-11-09 12:50:07,+0100,,port to gtbank its  still remain d number one in nigeria dear,en,[],[],1499669586521858049,1499669586521858049,MORRISON4256,AJI_BLISS,3,12,https://twitter.com/MORRISON4256/status/1590310764220674048,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'veeiye', 'name': 'VEE.', 'id': '1642522075'}]",,,,,Guarantee Trust Bank
115,1590310443977170944,1590274224291475458,1667994531000.0,2022-11-09 12:48:51,+0100,,gtbank i pray is my turn this time may god enrich your pocket,en,[],[],1556497145095651330,1556497145095651330,YusufBusayo5,Yusuf Busayo,3,12,https://twitter.com/YusufBusayo5/status/1590310443977170944,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'DAMIADENUGA', 'name': 'Dami’ Adenuga', 'id': '156563457'}]",,,,,Guarantee Trust Bank
116,1590310421617340416,1589918191115202560,1667994525000.0,2022-11-09 12:48:45,+0100,,your analysis was ok till you inserted gtb,en,[],[],2249295884,2249295884,hollaoluwa,Ola Daramola,3,12,https://twitter.com/hollaoluwa/status/1590310421617340416,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'SeyiNG1', 'name': 'Seyi Africa', 'id': '1151575952'}, {'screen_name': 'julietibrahim', 'name': 'Juliet Ibrahim', 'id': '44448194'}]",,,,,Guarantee Trust Bank
117,1590310363161014272,1590257273091153920,1667994511000.0,2022-11-09 12:48:31,+0100,,av always been dropping but it never get to my turn let it be my turn ds time  plsss  gtb,en,[],[],1582424528080322560,1582424528080322560,IfedolapoAanuo1,Ifedolapo Aanuoluwapo,3,12,https://twitter.com/IfedolapoAanuo1/status/1590310363161014272,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
118,1590310351928987649,1590287248586846208,1667994509000.0,2022-11-09 12:48:29,+0100,,gtb thank you bro,en,[],[],1562359997954007040,1562359997954007040,MathewBabatund7,Mathew Babatunde,3,12,https://twitter.com/MathewBabatund7/status/1590310351928987649,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'sportingking365', 'name': 'Sporting King', 'id': '2562718211'}]",,,,,Guarantee Trust Bank
121,1590310138728296449,1589932816539996160,1667994458000.0,2022-11-09 12:47:38,+0100,,im sorry about yesterday but truth be told personally never experienced any quality shege from gtbank and dont wish to,en,[],[],1561569732,1561569732,bolaabuissa,Issa A.B.,3,12,https://twitter.com/bolaabuissa/status/1590310138728296449,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'itsnaph', 'name': 'Naphtali', 'id': '134470654'}]",,,,,Guarantee Trust Bank
123,1590309955303006208,1590259501651103744,1667994414000.0,2022-11-09 12:46:54,+0100,,i always tort of dt  i av never been credited dt i always wonder maybe u arent seeing it at all  gtb abeg,en,[],[],1582424528080322560,1582424528080322560,IfedolapoAanuo1,Ifedolapo Aanuoluwapo,3,12,https://twitter.com/IfedolapoAanuo1/status/1590309955303006208,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'Realnoni4Real', 'name': 'De Real. eth👑💰', 'id': '3343050333'}]",,,,,Guarantee Trust Bank
128,1590309691904909316,1589875545403428865,1667994351000.0,2022-11-09 12:45:51,+0100,,sportingking   gtb  i will for ever be grateful  exspecially now that i need money for my school thanks god bless u sir,en,[],[],1538776801866031111,1538776801866031111,PreciousAburime,Aburime Precious,3,12,https://twitter.com/PreciousAburime/status/1590309691904909316,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'sportingking365', 'name': 'Sporting King', 'id': '2562718211'}]",,,,,Guarantee Trust Bank
131,1590309610510241792,1590070518279188480,1667994332000.0,2022-11-09 12:45:32,+0100,,oboy both,en,[],[],1571121770349879296,1571121770349879296,Crane849539591,Crand GTB,3,12,https://twitter.com/Crane849539591/status/1590309610510241792,[],[],0,,False,0,0,0,,gtb OR \ gtbank,,,,,,,"[{'screen_name': 'PulseNigeria247', 'name': 'Pulse Nigeria', 'id': '374999591'}]",,,,,Guarantee Trust Bank
