,date,tweet,nlikes,Bank,Subjectivity,Polarity,Analysis
196,2022-11-09 12:31:26,first i will pay my baby medical bills then go buy her drugs and use the balance to get food stuff for the family nothing much in my house left as food pls remember me in this one and god bless you even more thanks gtb  ijeoma akaelu,0,Guarantee Trust Bank,0.20555555555555552,0.19166666666666665,Positive
200,2022-11-09 12:31:13,please do something about this stolen money k means alot to me dis time wey nigeria dey now i am so sad,2,Guarantee Trust Bank,1.0,-0.5,Negative
201,2022-11-09 12:31:08,wow with k  bros i will buy  broiler chickens and train them and resell to start poultry business and use the remaining money for feeds and drugs gtb akanji timothy a,0,Guarantee Trust Bank,1.0,0.1,Positive
202,2022-11-09 12:31:04,same gtb that messed me up terribly yesterday dont worry wait for your turn they dont fail to show their customers quality shege,0,Guarantee Trust Bank,0.4749999999999999,-0.5,Negative
203,2022-11-09 12:30:47,gtb mohammed abdulraheem olamide  boss i pray that more blessing mercy and grace will locate you pls notice me too,0,Guarantee Trust Bank,0.5,0.5,Positive
204,2022-11-09 12:30:31,for food and i dont have to lie to get credit we took our last grain of garri last night  gtb olamilekan ibrahim,0,Guarantee Trust Bank,0.06666666666666667,0.0,Neutral
205,2022-11-09 12:30:24,first i will pay my baby medical bills then go buy her drugs and use the balance to get food stuff for the family nothing much in my house left as food pls remember me in this one and god bless you even more thanks gtb  ijeoma akaelu,0,Guarantee Trust Bank,0.20555555555555552,0.19166666666666665,Positive
206,2022-11-09 12:30:23,sporting king   gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
208,2022-11-09 12:30:16,acct no acct name awofolaju oluwatosin gtb pls i will use d money for my children school fees god bless u in advance,0,Guarantee Trust Bank,0.0,0.0,Neutral
209,2022-11-09 12:29:54,someone stole k from my gtbank account today and it is so painful for me because as an unemployed single mom of  kids i no longer feel safe using gtbank,1,Guarantee Trust Bank,0.5380952380952381,-0.09047619047619045,Negative
212,2022-11-09 12:29:05,make i do ham on your behalfi still get  naira for my gtbank acct,0,Guarantee Trust Bank,0.0,0.0,Neutral
215,2022-11-09 12:28:48,opaleye segun elijah gtb  thank you sir  god bless you,0,Guarantee Trust Bank,0.0,0.0,Neutral
216,2022-11-09 12:28:41,i dont understand  again oooo,2,Guarantee Trust Bank,0.0,0.0,Neutral
219,2022-11-09 12:28:25,god i beg let him pick me today obasola olasubomi tobiloba gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
221,2022-11-09 12:27:42,please boss help me out everywhere red for me please bless me this hot afternoon boss remember ur boy i dey wait for my blessings from u sir  gtbank   ngarlemwale abraham a,0,Guarantee Trust Bank,0.42500000000000004,0.125,Positive
223,2022-11-09 12:27:14,please boss man me never get alert ooo since three months now  ani anastasia chidinma  gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
224,2022-11-09 12:27:13,good and medications and petty house needs  gtbank,0,Guarantee Trust Bank,0.6000000000000001,0.7,Positive
225,2022-11-09 12:26:51,i have never been credited sir abdulganiyu mohammed gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
226,2022-11-09 12:26:32,sportingking  adetimehin elizabeth motunrayo gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
228,2022-11-09 12:26:22,ubi wilfred ifeanyi  gtbank  thanks,0,Guarantee Trust Bank,0.2,0.2,Positive
229,2022-11-09 12:26:06,sportingking is the greatest  gtbank,0,Guarantee Trust Bank,1.0,1.0,Positive
230,2022-11-09 12:26:05,oko sunday acct  gtbank thanks you,1,Guarantee Trust Bank,0.2,0.2,Positive
232,2022-11-09 12:25:51,abdulganiyu mohammed gtbank   god bless you,0,Guarantee Trust Bank,0.0,0.0,Neutral
237,2022-11-09 12:24:46,day  runway lineup includes shows from       and,10,Guarantee Trust Bank,0.0,0.0,Neutral
238,2022-11-09 12:24:41,someone just stole k from my gtbank account probably because i logged into the account via internet banking earlier i am so heart broken because i am a single mom of  kids and i just lost my job and someone doing this is so so painful gtbank is no longer safe,0,Guarantee Trust Bank,0.5028571428571429,-0.13428571428571426,Negative
241,2022-11-09 12:23:50,sportking  nwokwu mathew gtbank thanks in advance boss,0,Guarantee Trust Bank,0.2,0.2,Positive
245,2022-11-09 12:23:11,adetimehin elizabeth motunrayo gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
249,2022-11-09 12:22:48,kindly check dm what is this rubbish going on with my account,2,Guarantee Trust Bank,0.9,0.6,Positive
253,2022-11-09 12:22:20,gtb bank onuorah anthony,0,Guarantee Trust Bank,0.0,0.0,Neutral
254,2022-11-09 12:22:13,congrats bro  remember me in your paradise   gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
255,2022-11-09 12:21:36,which is the reason why god will continue to blessing you loke loke lowo afuni ngbe pls sir my friends i dont want them to be on the street that money will save us till month ending salary they new in abuja pls sir  gtb ayodele odeniyi peter,0,Guarantee Trust Bank,0.45454545454545453,0.13636363636363635,Positive
257,2022-11-09 12:21:25,you can move your funds to a better bank though,2,Guarantee Trust Bank,0.5,0.5,Positive
259,2022-11-09 12:20:44,gtbank  thanks,0,Guarantee Trust Bank,0.2,0.2,Positive
261,2022-11-09 12:20:29,sporting king  gtbank  bless me boss,0,Guarantee Trust Bank,0.0,0.0,Neutral
264,2022-11-09 12:20:17,olabode olayemi  gtbank  thanks you sir,0,Guarantee Trust Bank,0.2,0.2,Positive
265,2022-11-09 12:19:57,sporting king has been banging mega odds over the last few days buh god finally deliver sweet  odds for the street to be happy about   alabi uthman olamilekan gtb,1,Guarantee Trust Bank,0.5633333333333334,0.19,Positive
266,2022-11-09 12:19:48,hello  gtb thanks,0,Guarantee Trust Bank,0.2,0.2,Positive
267,2022-11-09 12:19:44,sportingking please i pray am been picked it will really go a long way will help to clear my daughter school fees    kamilu saidat gtb,0,Guarantee Trust Bank,0.39166666666666666,0.02500000000000001,Positive
268,2022-11-09 12:19:20,gtbank marvellous george,0,Guarantee Trust Bank,0.0,0.0,Neutral
269,2022-11-09 12:19:19,gtb may my luck shine amen,0,Guarantee Trust Bank,0.0,0.0,Neutral
270,2022-11-09 12:19:10,gtb bank adeboye shubomi remember me today and i will be grateful,0,Guarantee Trust Bank,0.0,0.0,Neutral
271,2022-11-09 12:19:07,gtb more blessings,0,Guarantee Trust Bank,0.5,0.5,Positive
273,2022-11-09 12:18:45,pls i have a little baby in the hospital that needs urgent attention spent so much money on my mum at lasuth but finally lost her to cancer pls i neeed k for my baby thanks you sir i have been following you for awhile now gtb  ijeoma akaelu,0,Guarantee Trust Bank,0.35000000000000003,0.018750000000000006,Positive
275,2022-11-09 12:18:19,hello  gtb god bless you,0,Guarantee Trust Bank,0.0,0.0,Neutral
276,2022-11-09 12:18:13,oga boss show your girl love na since i don dey drop my aza not show  abeg na see me na  ani anastasia chidinma  gtbank,0,Guarantee Trust Bank,0.6,0.5,Positive
281,2022-11-09 12:17:30,with k i can buy broiler chickens and train it for christmas time to resell them gtb akanji timothy a,0,Guarantee Trust Bank,0.0,0.0,Neutral
284,2022-11-09 12:16:50,i will be happy to buy my manuals with the money and that would be a very happy moment in my life cos its just too hard  gtbank,0,Guarantee Trust Bank,0.8472222222222222,0.5027777777777778,Positive
293,2022-11-09 12:14:06,nigerian banks and rainin hankali hmmm,0,Guarantee Trust Bank,0.0,0.0,Neutral
295,2022-11-09 12:13:36,please am unable to make transaction from my account please am away from home i need to send some money to my family,0,Guarantee Trust Bank,0.5,-0.5,Negative
297,2022-11-09 12:13:18,long live sportingking   gtbank oluwasina ogunleye more blessings my oga,0,Guarantee Trust Bank,0.4666666666666666,0.19545454545454544,Positive
298,2022-11-09 12:12:59,please im not receiving otp here im trying to bind my card to an online app and its a mastercard please work on it,3,Guarantee Trust Bank,0.0,0.0,Neutral
300,2022-11-09 12:12:47,help pls it hunger and house rent the only working sir pls landlord embarrassment is much pls gtb ayodele odeniyi peter,0,Guarantee Trust Bank,0.6,0.1,Positive
308,2022-11-09 12:10:58,it is  not nice that i will have to spend cumulatively over mins trying to return a missed call from your    pls talk to me by email if it is important and btw try and hire more agents,2,Guarantee Trust Bank,0.8333333333333334,0.20000000000000004,Positive
309,2022-11-09 12:10:53,oba sporty more wins my brother   gtbank atanda babatunde amos  hoping to be among the lucky winner oba sporty,0,Guarantee Trust Bank,0.5111111111111111,0.37777777777777777,Positive
310,2022-11-09 12:10:52,sportyking  sportyking  sportyking   gtbank  if i see your brake light i go dey happy oo,0,Guarantee Trust Bank,0.85,0.6000000000000001,Positive
313,2022-11-09 12:10:33,sportingking  gtb   chance to bless me or not make it count,0,Guarantee Trust Bank,0.0,0.0,Neutral
316,2022-11-09 12:09:36,gtb lucy agbambo pls i need the money,0,Guarantee Trust Bank,0.0,0.0,Neutral
320,2022-11-09 12:08:36,ayinde olakunle s  gtbank highly appreciated bro,0,Guarantee Trust Bank,0.1,0.2,Positive
321,2022-11-09 12:08:28,i want to buy broiler chickens and train it for christmas time to resell them pls help me gtb akanji timothy a,0,Guarantee Trust Bank,0.0,0.0,Neutral
323,2022-11-09 12:08:23,for food oh as i be bread provider for my family  gtb olamilekan ibrahim,0,Guarantee Trust Bank,0.0,0.0,Neutral
326,2022-11-09 12:07:56,gtb boss bless me too,0,Guarantee Trust Bank,0.0,0.0,Neutral
327,2022-11-09 12:07:53,giveaway dey sure die people done dey win today na my day for sure to win too  pass me not o gentle sportingking  sportingking  gtbank   sporting king god bless you forever,0,Guarantee Trust Bank,0.6755555555555555,0.5,Positive
329,2022-11-09 12:07:40,gtbank your concern will be highly appreciated,1,Guarantee Trust Bank,0.1,0.2,Positive
330,2022-11-09 12:07:38,hello   thank you for talking to us kindly follow us  and send us a direct message with details of your complaintinquiry to enable us assistadvise you appropriately thank you,0,Guarantee Trust Bank,0.6,0.39999999999999997,Positive
331,2022-11-09 12:07:36,whymy ringtone still gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
332,2022-11-09 12:07:34,sporting king  gtbank omikunle malik what god cant do doesnt exist,0,Guarantee Trust Bank,0.0,0.0,Neutral
333,2022-11-09 12:07:33,gtb  wish am one out of the lucky ones today,2,Guarantee Trust Bank,0.8333333333333334,0.3333333333333333,Positive
334,2022-11-09 12:07:26,the only thing left in my bank account now is my name a good name is better than silver and gold   just this morning gtb done remove the two last alphabets from my name because of bank charges  gtb,0,Guarantee Trust Bank,0.4333333333333334,0.24,Positive
339,2022-11-09 12:06:18,sportingking sportingking sportingking sportingking  came into the game no one replace youoluwa oshey won mon bowo sen wole everyday   dey calculate oh ah kowo nla wole  gtbankhave never won beforelet today be my day,0,Guarantee Trust Bank,0.5,-0.30000000000000004,Negative
341,2022-11-09 12:05:53,the only thing left in my bank account now is my name a good name is better than silver and gold   just this morning gtb done remove the two last alphabets from my name because of bank charges,0,Guarantee Trust Bank,0.4333333333333334,0.24,Positive
342,2022-11-09 12:05:43,sportingking for life  gtbank  name abel,0,Guarantee Trust Bank,0.0,0.0,Neutral
345,2022-11-09 12:05:28,the only thing left in my bank account now is my name a good name is better than silver and gold   just this morning gtb done remove the two last alphabets from my name because of bank charges  boss even if na k do am for me  gtb,0,Guarantee Trust Bank,0.4333333333333334,0.24,Positive
347,2022-11-09 12:05:03,gtbank ebose benjamin,0,Guarantee Trust Bank,0.0,0.0,Neutral
348,2022-11-09 12:04:43,i would use the money to get my manuals before deadline date   gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
349,2022-11-09 12:04:20,sportingking   bookies nightmare   gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
354,2022-11-09 12:03:48,gtbank put me among the people wey you one bless today,0,Guarantee Trust Bank,0.0,0.0,Neutral
355,2022-11-09 12:03:21,this thing gtb and access are doing makes no sense tbh,0,Guarantee Trust Bank,0.0,0.0,Neutral
357,2022-11-09 12:03:10,gtbank  please i need to buy inhaler,0,Guarantee Trust Bank,0.0,0.0,Neutral
358,2022-11-09 12:03:00,to buy food stuff for my family tanking u in advance  gtbank sobooye oludare,0,Guarantee Trust Bank,0.0,0.0,Neutral
360,2022-11-09 12:02:28,gtb baba pls i borrow loan from my bank it remaining  k to pay up pls baba biko ejo boss remember me,0,Guarantee Trust Bank,0.0,0.0,Neutral
363,2022-11-09 12:02:07,gtb baba pls i borrow loan from my bank it remaining  k to pay up pls baba biko ejo  boss remember me,0,Guarantee Trust Bank,0.0,0.0,Neutral
364,2022-11-09 12:02:05,somebody will say they should go to gtb instagram page to get info about gtb fashion weekend only to be seeing god will punish you people refund my money you thieves,6,Guarantee Trust Bank,1.0,0.0,Neutral
365,2022-11-09 12:02:02,gtbank  boss anything just to get food chop today na i need abeg help me out,2,Guarantee Trust Bank,0.0,0.0,Neutral
366,2022-11-09 12:02:00,everyday drop account number money we no see   gtb we keep getting hope sha,0,Guarantee Trust Bank,0.6,-0.2,Negative
367,2022-11-09 12:01:55,gtb baba pls i borrow loan from my bank it remaining  k to pay up pls baba biko ejo,0,Guarantee Trust Bank,0.0,0.0,Neutral
368,2022-11-09 12:01:46,no one is responding on that number,1,Guarantee Trust Bank,0.0,0.0,Neutral
369,2022-11-09 12:01:20,sportingking sportingking sportingking sportingking sportingking sportingking sportingking sportingking sportingking sportingking  oluwa oshey won mon bowo sen wole everyday   dey calculate oh ah kowo nla wole  gtbanklet today be my lucky day,0,Guarantee Trust Bank,0.7166666666666667,0.06666666666666665,Positive
376,2022-11-09 12:00:07,gtb ayodele odeniyi peter i beg boss na house rent the embarrassment done to much i be at least if i beg landlord e go fit bear till month ending and it because of my guys wey just come abj never start work and i no fit allow make the come pursue them out pls,0,Guarantee Trust Bank,0.4000000000000001,-0.033333333333333326,Negative
377,2022-11-09 11:59:53,gtb the rubbish you tried with me this morning shouldnt repeat itself again or else,0,Guarantee Trust Bank,0.0,0.0,Neutral
378,2022-11-09 11:59:39,please respond to my messages i need the money to get by with my kids and it was stolen from my account via a paystack account,2,Guarantee Trust Bank,0.0,0.0,Neutral
379,2022-11-09 11:59:37,gtb adoyi jessica e thank yuh,0,Guarantee Trust Bank,0.0,0.0,Neutral
380,2022-11-09 11:59:13,pls i will need the k to pay up for my kids medical bills thanks pls gtb  ijeoma akaelu,0,Guarantee Trust Bank,0.1,0.1,Positive
382,2022-11-09 11:59:03,sportingking  gtbank thanks boss god bless,0,Guarantee Trust Bank,0.2,0.2,Positive
386,2022-11-09 11:58:49,where is my money o,1,Guarantee Trust Bank,0.0,0.0,Neutral
387,2022-11-09 11:58:48,abeg o am a tailor and i need it to buy materials for my work and chicken i want to rear gtb akanji timothy a,0,Guarantee Trust Bank,0.95,-0.6,Negative
388,2022-11-09 11:58:23,gtb god bless you,0,Guarantee Trust Bank,0.0,0.0,Neutral
389,2022-11-09 11:58:19,please look into this as that was the money sent to me to manage with my kids but now i am left with nothing in my account this is so painful for me because i have been suffering and dont deserve this at all,1,Guarantee Trust Bank,0.45,-0.35,Negative
391,2022-11-09 11:58:16,credit me too and you will be putting joy and happiness on a family   gtbank  omobola famojuro,0,Guarantee Trust Bank,0.2,0.75,Positive
392,2022-11-09 11:58:14,bro pick me today  gtb,0,Guarantee Trust Bank,0.0,0.0,Neutral
396,2022-11-09 11:57:54,boss i no sabi liei be tiler i never see work go like going to two month now and am broke please me freaky my account with any amount god bless you all you do  gtbank joseph aiyelabola,0,Guarantee Trust Bank,0.0,0.0,Neutral
397,2022-11-09 11:57:53,abeg look my way ooo  gtbank,0,Guarantee Trust Bank,0.0,0.0,Neutral
399,2022-11-09 11:57:48,notice me oooo  gtb agbor patrick,0,Guarantee Trust Bank,0.0,0.0,Neutral
402,2022-11-09 11:57:23,will use it to hustle boss   abubakar abdulrasheed o gtbank thanks boss,0,Guarantee Trust Bank,0.2,0.2,Positive
